Karmn tess
J09011+019 270458066
J09023+084 471011598
J09023+177 437063338
J09028+680 219704346
J09033+056 270511002
J09037+520 456341802
J09038+129 330622425
J09040-159 1190309
J09050+028 270561176
J09057+186 243244145
J09062+128 330688989
J09070-221 432089011
J09087+665 430246811
J09091+227 386908715
J09093+401 ...
J09095+328 355173317
J09096+067 323688555
J09099+004 270708113
J09115+126 321297241
J09115+466 39729731
J09120+279 ...
J09133+688 341612752
J09140+196 85993728
J09143+526 ...
J09144+526 ...
J09156-105 60764070
J09160+293 149367824
J09161+018 290474796
J09163-186 5362024
J09165+841 328815367
J09168+248 149369278
J09177+462 56914413
J09177+584 137649696
J09187+267 149397420
J09193+385N 355175840
J09193+385S 355175842
J09193+620 86232609
J09200+308 8766424
J09201+037 290589736
J09209+033 290598218
J09213+731 202280283
J09218+435 56936482
J09218-023 281234286
J09228+467 99744526
J09231+223 414964447
J09238+001 286099954
J09248+306 307913606
J09256+634 86279327
J09275+506 318190759
J09288-073 ...
J09289-073 46825126
J09291+259 154998483
J09300+396 16814858
J09302+265 172517469
J09307+003 471011612
J09308+024 383217850
J09313-134 ...
J09315+202 ...
J09319+363 450298091
J09328+269 172533276
J09352+612 86371681
J09360-061 47007301
J09360-216 413248763
J09362+375 17122372
J09370+405 17124024
J09394+146 263543051
J09394+317 471011618
J09410+220 ...
J09411+132 307646256
J09423+559 328629163
J09425+700 142439879
J09425-192 408416746
J09428+700 142439883
J09430+237 87952857
J09439+269 471011625
J09447-182 418096656
J09449-123 289706625
J09461-044 179683535
J09468+760 219431676
J09473+263 239198426
J09475+129 258671319
J09488+156 258673102
J09506-138 396795976
J09511-123 396810588
J09526-156 396823875
J09527+554 331942415
J09531-036 78193340
J09535+507 453447311
J09539+209 ...
J09557+353 4972033
J09561+627 287165117
J09564+226 239204061
J09579+118 377156957
J09587+555 293630845
J09589+059 275309165
J09593+438E 157835110
J09593+438W 157835109
J09597+472 157835914
J09597+721 142738700
J10004+272 308026979
J10007+323 ...
J10020+697 103581155
J10023+480 ...
J10027+149 337710982
J10028+484 252470185
J10035+059 344860092
J10040+187 27001558
J10043+503 88723334
J10067+417 39084991
J10068-127 308775722
J10069+126 357307559
J10079+692 103632048
J10087+027 344955805
J10094+512 371493573
J10094+544 137935676
J10117+353 8922189
J10120-026 77610900
J10122-037 77612635
J10125+570 137958028
J10130+233 95312817
J10133+467 105577069
J10143+210 95339414
J10148+213 95340837
J10151+314 139414659
J10155-164 385156830
J10158+174 61101267
J10167-119 ...
J10182-204 192543856
J10185-117 36724087
J10196+198 95431305
J10200+289 1100695
J10206+492 252476926
J10238+438 392365135
J10240+366 8189340
J10243+119 350074599
J10251-102 36879392
J10255+263 ...
J10260+504E 252484950
J10260+504W 252484953
J10273+799 341632311
J10278+028 277876750
J10284+482 ...
J10286+322 368413809
J10289+008 277888583
J10303+328 407611984
J10315+570 297961454
J10320+033 374180523
J10345+463 253035400
J10350-094 56665956
J10354+694 ...
J10359+288 165405177
J10360+051 374267666
J10364+415 450322924
J10367+153 155557995
J10368+509 311576763
J10379+127 233167395
J10384+485 311578368
J10385+354 368436417
J10389+250 165414546
J10396-069 54959262
J10403+015 374312723
J10416+376 ...
J10430-092 55003990
J10443+124 358788770
J10448+324 5011770
J10453+385 17329110
J10456-191 ...
J10460+096 393558925
J10472+404 8259902
J10474+025 471011666
J10482-113 471015913
J10485+191 95845946
J10497+355 ...
J10504+331 165654322
J10506+517 148836026
J10508+068 393584004
J10513+361 8279983
J10520+005 281731214
J10520+139 ...
J10522+059 281744438
J10546-073 55240194
J10555-093 148498810
J10563+042 281795498
J10564+070 ...
J10576+695 147897190
J10584-107 148563078
J11000+228 ...
J11003+728 142537354
J11008+120 350328524
J11013+030 281837943
J11014+568 141120191
J11023+165E 415008568
J11023+165W 415008569
J11026+219 97488127
J11030+037 281848934
J11031+152 372445638
J11031+366 21549606
J11033+359 166646191
J11036+136 427586730
J11042+400 353970454
J11054+435 ...
J11055+435 ...
J11055+450 252803366
J11057+102 471011684
J11075+437 252805947
J11081-052 53211475
J11108+479 445807783
J11110+304 ...
J11113+434 ...
J11118+335 85334035
J11126+189 356668126
J11131+002 425283213
J11151+734 142591775
J11152+194 159525932
J11152-181 471016634
J11154+410 450332281
J11159+553 302699294
J11195+466 148673115
J11200+658 ...
J11201-104 453465810
J11214-204 437261155
J11216+061 291056855
J11231+258 230058349
J11233+448 392368104
J11237+085 396915485
J11238+106 396915226
J11239-183 471015583
J11240+381 17992446
J11247+675 153917759
J11249+024 363546593
J11254+782 156153592
J11266+379 18016612
J11276+039 363570744
J11289+101 388802555
J11302+076 ...
J11306-080 285972083
J11307+549 284596693
J11311-149 471012447
J11315+022 396951485
J11317+226 371794604
J11351-056 49427030
J11355+389 ...
J11376+587 137733738
J11404+770 372759030
J11417+427 471011711
J11420+147 ...
J11421+267 ...
J11433+253 138822476
J11451+183 202359348
J11467-140 ...
J11470+700 142877499
J11474+667 142878895
J11476+002 325273691
J11476+786 358615829
J11477+008 471011718
J11483-112 144167994
J11485+076 350497593
J11496+220 347327883
J11509+483 ...
J11511+352 144400022
J11519+075 291074569
J11521+039 366683385
J11529+244 229547234
J11532-073 144250882
J11533+430 253054147
J11538+069 291108374
J11541+098 291108016
J11549-021 421194417
J11551+009 397025550
J11557-189 5647251
J11557-227 5630425
J11575+118 380669453
J11582+425 141160407
J11585+595 55724798
J11589+426 141177289
J12006-138 471012450
J12016-122 180262572
J12023+285 ...
J12054+695 142963210
J12057+784 156199681
J12063-132 385330728
J12088+303 139053298
J12093+210 357288188
J12100-150 347694620
J12104-131 347695698
J12109+410 9429367
J12111-199 422382572
J12112-199 422407583
J12121+488 53577794
J12122+714 148841969
J12123+544N ...
J12123+544S 224289449
J12124+121 335813275
J12124+396 9455086
J12133+166 471011752
J12142+006 397052407
J12144+245 356697078
J12151+487 53580461
J12154+391 445831895
J12156+526 416538839
J12162+508 53581013
J12168+029 149952651
J12168+248 141274365
J12169+311 139069496
J12189+111 389356212
J12191+318 139086865
J12194+283 328860504
J12198+527 154220180
J12199+364 376688975
J12204+005 377170528
J12214+306E 357187278
J12214+306W 357187277
J12217+682 148909368
J12223+251 328961501
J12225+123 328961071
J12228-040 147684853
J12230+640 147670988
J12235+279 97758239
J12235+671 148910748
J12238+125 84950377
J12248-182 ...
J12269+270 393800499
J12274+374 18905408
J12277-032 130587313
J12288-106N 98751018
J12288-106S 98751019
J12289+084 471011775
J12290+417 18906490
J12292+535 ...
J12294+229 371609542
J12299-054E 130608548
J12299-054W 130608548
J12312+086 399057352
J12323+315 138959018
J12324+203 334578550
J12327+682 148917709
J12332+090 399087412
J12349+322 138976580
J12350+098 399089737
J12363-043 175376830
J12364+352 4750626
J12368-019 175378094
J12373-208 434508218
J12387-043 51643344
J12388+116 399119319
J12390+470 115908178
J12397+255 285118778
J12416+482 354080845
J12417+567 99381596
J12428+418 115920948
J12436+251 160007278
J12440-111 156619134
J12470+466 207341229
J12471-035 349552500
J12479+097 471011791
J12481+472 393887078
J12485+495 51269322
J12490+661 341687654
